Overriding config with config/finetune_tt7_5k.py:
import time

out_dir = 'out-shakespeare-char-4l8h-ft'
eval_interval = 250
eval_iters = 200
log_inerval = 10

wandb_log = False # feel free to turn on
wandb_project = 'ft7_5k-char'
wandb_run_name = 'ft-' + str(time.time())

dataset = 'tt_7_5k'
init_from = 'resume' # this is the largest GPT-2 model

# only save checkpoints if the validation loss improves
always_save_checkpoint = True

# the number of examples per iter:
# 1 batch_size * 32 grad_accum * 1024 tokens = 32,768 tokens/iter
# shakespeare has 301,966 tokens, so 1 epoch ~= 9.2 iters
batch_size = 64
gradient_accumulation_steps = 1
max_iters = 7500
block_size = 256

# finetune at constant LR
learning_rate = 1e-3
lr_decay_iters = 7500

min_lr = 1e-4
beta2 = 0.99

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/tt_7_5k/meta.pkl)
Resuming training from out-shakespeare-char-4l8h-ft
number of parameters: 7.11M
num decayed parameter tensors: 18, with 7,201,152 parameters
num non-decayed parameter tensors: 9, with 3,456 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 2467: loss 1.3293, time 70.83ms, mfu 3.45%
iter 2468: loss 1.3254, time 72.87ms, mfu 3.45%
iter 2469: loss 1.3252, time 72.07ms, mfu 3.45%
iter 2470: loss 1.3369, time 72.66ms, mfu 3.45%
iter 2471: loss 1.3440, time 73.18ms, mfu 3.44%
iter 2472: loss 1.2877, time 71.91ms, mfu 3.44%
iter 2473: loss 1.3303, time 73.66ms, mfu 3.44%
iter 2474: loss 1.3631, time 72.43ms, mfu 3.44%
iter 2475: loss 1.2815, time 74.41ms, mfu 3.43%
iter 2476: loss 1.2869, time 72.50ms, mfu 3.43%
iter 2477: loss 1.3304, time 72.42ms, mfu 3.43%
iter 2478: loss 1.3155, time 74.35ms, mfu 3.42%
iter 2479: loss 1.3345, time 71.74ms, mfu 3.42%
iter 2480: loss 1.3579, time 74.10ms, mfu 3.42%
iter 2481: loss 1.3148, time 74.58ms, mfu 3.41%
iter 2482: loss 1.3049, time 72.10ms, mfu 3.41%
iter 2483: loss 1.2679, time 74.34ms, mfu 3.41%
iter 2484: loss 1.3284, time 73.18ms, mfu 3.41%
iter 2485: loss 1.3435, time 72.55ms, mfu 3.41%
iter 2486: loss 1.2696, time 74.86ms, mfu 3.40%
iter 2487: loss 1.2976, time 72.00ms, mfu 3.40%
iter 2488: loss 1.3123, time 72.30ms, mfu 3.41%
iter 2489: loss 1.3345, time 74.68ms, mfu 3.40%
iter 2490: loss 1.3185, time 72.85ms, mfu 3.40%
iter 2491: loss 1.3416, time 74.29ms, mfu 3.40%
iter 2492: loss 1.3008, time 73.52ms, mfu 3.39%
iter 2493: loss 1.3390, time 72.23ms, mfu 3.40%
iter 2494: loss 1.2913, time 76.94ms, mfu 3.38%
iter 2495: loss 1.3012, time 72.52ms, mfu 3.39%
iter 2496: loss 1.3608, time 73.98ms, mfu 3.38%
iter 2497: loss 1.3138, time 75.11ms, mfu 3.38%
iter 2498: loss 1.3355, time 71.26ms, mfu 3.39%
iter 2499: loss 1.3201, time 73.77ms, mfu 3.39%
step 2500: train loss 1.3073, val loss 1.5532
saving checkpoint to out-shakespeare-char-4l8h-ft
iter 2500: loss 1.3210, time 8602.12ms, mfu 3.05%
iter 2501: loss 1.3601, time 71.26ms, mfu 3.10%
iter 2502: loss 1.3016, time 73.53ms, mfu 3.12%
iter 2503: loss 1.3334, time 71.05ms, mfu 3.16%
iter 2504: loss 1.2431, time 73.67ms, mfu 3.18%
iter 2505: loss 1.3292, time 72.57ms, mfu 3.21%
iter 2506: loss 1.2530, time 72.55ms, mfu 3.23%
iter 2507: loss 1.3032, time 72.81ms, mfu 3.25%
iter 2508: loss 1.2999, time 72.22ms, mfu 3.27%
iter 2509: loss 1.2976, time 73.54ms, mfu 3.28%
iter 2510: loss 1.2286, time 71.09ms, mfu 3.30%
iter 2511: loss 1.2630, time 74.14ms, mfu 3.31%
iter 2512: loss 1.2362, time 77.91ms, mfu 3.29%
iter 2513: loss 1.2788, time 72.52ms, mfu 3.31%
iter 2514: loss 1.2946, time 73.94ms, mfu 3.31%
iter 2515: loss 1.2914, time 72.58ms, mfu 3.32%
iter 2516: loss 1.2637, time 71.44ms, mfu 3.34%
iter 2517: loss 1.2738, time 74.75ms, mfu 3.34%
iter 2518: loss 1.3106, time 72.94ms, mfu 3.35%
iter 2519: loss 1.3043, time 72.77ms, mfu 3.35%
iter 2520: loss 1.3199, time 74.40ms, mfu 3.35%
iter 2521: loss 1.3004, time 72.26ms, mfu 3.36%
iter 2522: loss 1.2498, time 73.10ms, mfu 3.37%
iter 2523: loss 1.2666, time 72.08ms, mfu 3.37%
iter 2524: loss 1.2963, time 71.87ms, mfu 3.38%
iter 2525: loss 1.2814, time 75.01ms, mfu 3.38%
iter 2526: loss 1.2756, time 72.07ms, mfu 3.38%
iter 2527: loss 1.2826, time 73.28ms, mfu 3.38%
iter 2528: loss 1.3135, time 70.62ms, mfu 3.40%
iter 2529: loss 1.3073, time 73.62ms, mfu 3.40%
iter 2530: loss 1.3006, time 73.21ms, mfu 3.40%
iter 2531: loss 1.2895, time 73.61ms, mfu 3.39%
iter 2532: loss 1.2452, time 73.47ms, mfu 3.39%
iter 2533: loss 1.2776, time 70.06ms, mfu 3.41%
iter 2534: loss 1.2446, time 73.15ms, mfu 3.41%
iter 2535: loss 1.3309, time 72.18ms, mfu 3.41%
iter 2536: loss 1.2640, time 70.08ms, mfu 3.43%
iter 2537: loss 1.2706, time 71.00ms, mfu 3.43%
iter 2538: loss 1.2789, time 72.62ms, mfu 3.43%
iter 2539: loss 1.2506, time 71.36ms, mfu 3.44%
iter 2540: loss 1.3146, time 71.83ms, mfu 3.44%
iter 2541: loss 1.2891, time 72.66ms, mfu 3.44%
iter 2542: loss 1.2323, time 71.71ms, mfu 3.44%
iter 2543: loss 1.2804, time 71.87ms, mfu 3.44%
iter 2544: loss 1.2702, time 71.40ms, mfu 3.45%
iter 2545: loss 1.2484, time 72.68ms, mfu 3.44%
iter 2546: loss 1.2697, time 71.41ms, mfu 3.45%
iter 2547: loss 1.2969, time 72.25ms, mfu 3.45%
iter 2548: loss 1.2651, time 70.27ms, mfu 3.46%
iter 2549: loss 1.2427, time 73.43ms, mfu 3.45%
iter 2550: loss 1.2506, time 70.52ms, mfu 3.46%
iter 2551: loss 1.2600, time 71.50ms, mfu 3.46%
iter 2552: loss 1.2865, time 71.45ms, mfu 3.46%
iter 2553: loss 1.2837, time 71.93ms, mfu 3.46%
iter 2554: loss 1.2673, time 73.52ms, mfu 3.45%
iter 2555: loss 1.2754, time 71.80ms, mfu 3.45%
iter 2556: loss 1.2281, time 73.81ms, mfu 3.45%
iter 2557: loss 1.2583, time 70.94ms, mfu 3.45%
iter 2558: loss 1.2561, time 70.62ms, mfu 3.46%
iter 2559: loss 1.2595, time 70.07ms, mfu 3.47%
iter 2560: loss 1.2660, time 73.37ms, mfu 3.46%
iter 2561: loss 1.2392, time 69.77ms, mfu 3.47%
iter 2562: loss 1.2999, time 72.38ms, mfu 3.47%
iter 2563: loss 1.2562, time 71.46ms, mfu 3.47%
iter 2564: loss 1.2811, time 72.07ms, mfu 3.47%
iter 2565: loss 1.3083, time 70.43ms, mfu 3.47%
iter 2566: loss 1.2594, time 71.88ms, mfu 3.47%
iter 2567: loss 1.2050, time 73.60ms, mfu 3.46%
iter 2568: loss 1.2759, time 71.72ms, mfu 3.46%
iter 2569: loss 1.2096, time 74.75ms, mfu 3.45%
iter 2570: loss 1.2325, time 71.09ms, mfu 3.45%
iter 2571: loss 1.2678, time 70.88ms, mfu 3.46%
iter 2572: loss 1.2635, time 70.41ms, mfu 3.47%
iter 2573: loss 1.2162, time 74.10ms, mfu 3.46%
iter 2574: loss 1.2217, time 69.63ms, mfu 3.47%
iter 2575: loss 1.2184, time 71.35ms, mfu 3.47%
iter 2576: loss 1.2656, time 72.04ms, mfu 3.47%
iter 2577: loss 1.2917, time 70.48ms, mfu 3.47%
iter 2578: loss 1.2582, time 69.77ms, mfu 3.48%
iter 2579: loss 1.2392, time 73.63ms, mfu 3.47%
iter 2580: loss 1.2282, time 71.99ms, mfu 3.47%
iter 2581: loss 1.2009, time 71.18ms, mfu 3.47%
iter 2582: loss 1.2536, time 72.77ms, mfu 3.47%
iter 2583: loss 1.2857, time 72.75ms, mfu 3.46%
iter 2584: loss 1.2681, time 72.50ms, mfu 3.46%
iter 2585: loss 1.2323, time 69.74ms, mfu 3.47%
iter 2586: loss 1.2342, time 73.05ms, mfu 3.46%
iter 2587: loss 1.2151, time 70.84ms, mfu 3.47%
iter 2588: loss 1.1928, time 71.32ms, mfu 3.47%
iter 2589: loss 1.2905, time 71.20ms, mfu 3.47%
iter 2590: loss 1.2392, time 71.69ms, mfu 3.47%
iter 2591: loss 1.2385, time 71.29ms, mfu 3.47%
iter 2592: loss 1.2814, time 73.51ms, mfu 3.46%
iter 2593: loss 1.2124, time 73.14ms, mfu 3.46%
